dimension_a,label_a,dimension_b,label_b,n_both,n_a,n_b,lift
blocker_type,styling_uncertainty,uncertainty_type,how_does_it_look_on_me,3,3,3,266.666667
blocker_type,choice_overload,uncertainty_type,better_alternative_exists,2,3,4,133.333333
blocker_type,color_fabric_accuracy,uncertainty_type,how_does_it_look_on_me,2,7,3,76.190476
blocker_type,color_fabric_accuracy,uncertainty_type,true_color,5,7,9,63.492063
blocker_type,price_expectation,uncertainty_type,better_alternative_exists,1,5,4,40.000000
blocker_type,styling_uncertainty,uncertainty_type,true_color,1,3,9,29.629630
blocker_type,checkout_friction,segment_cue,first_time_online_buyer,1,15,2,26.666667
blocker_type,price_expectation,uncertainty_type,true_color,1,5,9,17.777778
blocker_type,quality_doubt,uncertainty_type,is_quality_worth_it,23,44,25,16.727273
blocker_type,styling_uncertainty,uncertainty_type,is_quality_worth_it,1,3,25,10.666667
blocker_type,trust_authenticity,uncertainty_type,true_color,5,47,9,9.456265
blocker_type,fit_size_uncertainty,uncertainty_type,how_does_it_look_on_me,3,86,3,9.302326
blocker_type,styling_uncertainty,uncertainty_type,will_it_fit,3,3,86,9.302326
blocker_type,price_absolute,segment_cue,first_time_online_buyer,1,44,2,9.090909
blocker_type,fit_size_uncertainty,uncertainty_type,will_it_fit,82,86,86,8.869659
blocker_type,fit_size_uncertainty,info_sought_elsewhere,brand_site_size_chart,7,86,9,7.235142
blocker_type,delivery_uncertainty,uncertainty_type,better_alternative_exists,2,62,4,6.451613
blocker_type,delivery_uncertainty,segment_cue,first_time_online_buyer,1,62,2,6.451613
blocker_type,price_expectation,uncertainty_type,is_quality_worth_it,1,5,25,6.400000
blocker_type,quality_doubt,uncertainty_type,how_does_it_look_on_me,1,44,3,6.060606
blocker_type,quality_doubt,uncertainty_type,true_color,3,44,9,6.060606
blocker_type,trust_authenticity,uncertainty_type,is_quality_worth_it,8,47,25,5.446809
blocker_type,color_fabric_accuracy,uncertainty_type,will_it_fit,4,7,86,5.315615
blocker_type,color_fabric_accuracy,uncertainty_type,is_quality_worth_it,1,7,25,4.571429
blocker_type,quality_doubt,uncertainty_type,better_alternative_exists,1,44,4,4.545455
blocker_type,trust_authenticity,uncertainty_type,better_alternative_exists,1,47,4,4.255319
blocker_type,return_friction,uncertainty_type,can_i_return,119,192,122,4.064208
blocker_type,delivery_uncertainty,uncertainty_type,can_i_return,31,62,122,3.278689
blocker_type,choice_overload,uncertainty_type,will_it_fit,1,3,86,3.100775
blocker_type,fit_size_uncertainty,uncertainty_type,true_color,3,86,9,3.100775
blocker_type,return_friction,uncertainty_type,is_quality_worth_it,15,192,25,2.500000
blocker_type,fit_size_uncertainty,uncertainty_type,better_alternative_exists,1,86,4,2.325581
blocker_type,trust_authenticity,uncertainty_type,can_i_return,16,47,122,2.232299
blocker_type,styling_uncertainty,uncertainty_type,can_i_return,1,3,122,2.185792
blocker_type,quality_doubt,uncertainty_type,can_i_return,14,44,122,2.086438
blocker_type,price_absolute,uncertainty_type,true_color,1,44,9,2.020202
blocker_type,color_fabric_accuracy,uncertainty_type,can_i_return,2,7,122,1.873536
blocker_type,fit_size_uncertainty,info_sought_elsewhere,youtube_haul,1,86,5,1.860465
blocker_type,return_friction,uncertainty_type,true_color,4,192,9,1.851852
blocker_type,price_absolute,uncertainty_type,can_i_return,12,44,122,1.788376
blocker_type,delivery_uncertainty,uncertainty_type,is_quality_worth_it,3,62,25,1.548387
blocker_type,fit_size_uncertainty,uncertainty_type,is_quality_worth_it,4,86,25,1.488372
blocker_type,delivery_uncertainty,uncertainty_type,true_color,1,62,9,1.433692
blocker_type,return_friction,uncertainty_type,how_does_it_look_on_me,1,192,3,1.388889
blocker_type,return_friction,uncertainty_type,better_alternative_exists,1,192,4,1.041667
blocker_type,checkout_friction,uncertainty_type,can_i_return,2,15,122,0.874317
blocker_type,quality_doubt,uncertainty_type,will_it_fit,4,44,86,0.845666
blocker_type,price_absolute,uncertainty_type,is_quality_worth_it,1,44,25,0.727273
blocker_type,fit_size_uncertainty,uncertainty_type,can_i_return,8,86,122,0.609989
blocker_type,trust_authenticity,uncertainty_type,will_it_fit,3,47,86,0.593765
blocker_type,return_friction,uncertainty_type,will_it_fit,9,192,86,0.436047
blocker_type,price_absolute,uncertainty_type,will_it_fit,2,44,86,0.422833
blocker_type,delivery_uncertainty,uncertainty_type,will_it_fit,2,62,86,0.300075
