dimension,label,n_docs,prevalence,mean_severity,mean_actionability,mean_confidence,opportunity_score,co_occurs_with,prevalence_lo,prevalence_hi,prevalence_norm,severity_norm,evidence_confidence,source_spread,attribution_factor,flagged_evidence_share,low_confidence,reportable,source_specific,high_prevalence,post_purchase_only,n_pre_purchase,n_post_purchase,n_mixed,n_authors,author_prevalence,n_docs_genuine,prevalence_genuine,prevalence_lo_genuine,prevalence_hi_genuine,mean_severity_genuine,mean_actionability_genuine,mean_confidence_genuine,evidence_confidence_genuine,opportunity_score_genuine,cluster,supporting_doc_ids,prevalence_youtube,prevalence_consumer_complaints_in,prevalence_quora_manual,prevalence_play_store,prevalence_app_store,prevalence_complaints_board
blocker_type,return_friction,195,0.243750,4.0103,0.9692,80.9744,21.10,blocker_type=delivery_uncertainty; blocker_type=quality_doubt; blocker_type=price_absolute,0.215269,0.274681,1.000000,0.802051,0.271382,1.000000,0.379487,0.620513,false,true,false,false,false,68,85,42,192,0.245839,46,0.425926,0.336791,0.520150,4.0870,0.9565,81.3043,0.223615,17.48,blocker_type=return_friction; uncertainty_type=can_i_return,00b2ea842c59af1d;0333fed324396512;06f949fb8f0db64f;08903ff1d59ccd58;0999da40daee7710;09d255d2c3c56884;0bff6978da1e7f59;0c81d6fdcccbba3d;0ce458d2ac556381;0d721f870fdc59df;10193ab27b32dfef;11c927627445956f;16992285997da082;177d77f3d4899035;17d33236ae91d5ce;18face7c249b2094;19a2c2da949f2678;19c83e2340b663b0;1a1a20999e8971e2;1e14833dbf373e52;1e73cad291028bb4;1fc2a9743073e099;211b72eefa267e33;21e32ef9cc07f580;24141965d3f7e6a0;248e199ff62c553f;286652bf167441f6;28b861c9726a7c13;2cbc6c167e947180;2d67ec1aa7d2786d;30af379e85935b8f;3107dcdae0462ee8;32de18178cbf620f;34646ea372851bcf;368f5742177b2f79;3821a259b3fda79b;39157de6f873e9db;39bd3534a6ab7d57;3bda01712e370379;3c9334f9b822dc68;3ccb8743a96f5445;3d2381b3f092af5d;3d29df8b7ec793e2;3d2bb8c06d8f8a0e;4005b2672f8cd6e0;419a6cb0068122df;420c4a7f6524c47e;44e7a4c0659eb2d7;47f1b83b9966ceaf;486e8e75f6fc7a71;48dddc638b28be24;49d309905448e8a3;49f84e0dc54f7e8b;4a489dd226254c7c;4acec7037cb7ea10;4d941b462809a455;4e1146461078bd68;4f3fcb7a3bab9c29;5085bcf4b6bdc064;513eae40b6fd0479;51efc9845396c1dd;52f1f8628a2679c8;550a030aafb69c78;566edcef6784c9a5;567989ce87789638;58b8f6f4832c6a9b;59edff26c32c6f5d;5b7a17f967cd8ca1;5c22143127763c83;5ec64288718af46d;5ed1582e9fb9b844;6335f0a24c65ea01;63827a9bb072cb5b;647bd7d4fe4afb87;6665c3ae28185b3a;66d45d461974d30d;66df55b91fab8479;679453ed35b7236e;6867a417f9092f0f;687ac70c2bd0c55a;68e658c10da835b0;69a448dcb3aa5196;69b854d91b105b4e;6a8d3249872ae45c;6c10464c7fe320fe;6fc5fe0e04b8df2f;710e139c7312244b;71474cd9f2344c05;71d053343acd6184;724f0048240a5c4d;7421d6281d633e7f;755513e947434ed4;75af96f102725c97;764993219d0c610b;77b869e6f3325c20;77e68f49a570b23e;79f0627b6f1f5cd4;7ad5dffc1c46d5ca;7d7676d9650bbcc6;7d93c44c83d4f4bc;81700a323fe006df;8306ed39ac2e2ff5;842a0aeb346f2446;878271e20c518964;885a631641714685;8b18597f770c48cc;8b494fa53a9f14d8;8cb290a270922f1c;8e0113ed4d94bdf7;8ef67e49c8c495ff;8f00c8e808a5ce4d;905417c1ea56c200;90f9c54a8a88c015;9556f3775ddb6c23;972d3b5ce3925798;98d1b2b1e271000f;9b107f3f59ce2d48;9bfd004fd3786bf5;9c8191cbeff4c285;9d40d7d2d7562536;9d57cafca0321cc4;9dd37e0006996982;9e94f45f92f3903f;a01953e7c24d66e4;a2fc45c225e71369;a4121bb8bace3954;a480c59f2d5489da;a4d5a0afd0375a25;a7989923e11bd27f;ac9c3ce55986dd0a;acd0f1a4ea76fad6;ae38fe051aca6cb2;ae527240a252918f;ae9c5f49e0c4149e;b005a0feeeb67715;b8432c792e4226b3;b87fe93bb190e03d;bac6e524e85fa1f9;bb582c29971d3492;bd9e7b574e8a37a1;be8a946f80e23d57;c2cc5888408a2986;c2d424e4219a360d;c32bf93c84e03b5c;c5002d25b7fb4eb8;c5094807231c12aa;c6006d5b09408c06;c752beb31e81370a;c85d31d9a288efd6;caee237524381790;cc67ecc078d47795;cd8e8daef69a1b75;ce5c508a3beaeaa2;cf1592e564f55ab5;d06b393d6ff29bf3;d104068a8f9b20f8;d33757760ab11cfd;d4700bcfca44a169;d55cfdf62412d472;d5bef2116e2581bf;d5f48cc4d860bf51;d62df31e77aaea5d;d6c511027ae69f18;d750dc66e648bcd0;d82f940df9cedc5c;dad39da4107a1e4b;dafd1a8354261dea;db9a5c51dbe1ec3b;dbaed976bf2daa12;dc829140dfaf6892;df36d9a578a89fdc;e2afaa8ba5fd2c28;e2d7312373cedead;e3dccfc42aa34800;e61ad4642213c52a;e85c8d2439bcec2d;e994e302306326b6;ea2e4f7681401dfc;eb09706cc3f6a3d9;ed82f63094ce23e7;ee0d015f6dd0feb9;ef9c3cbd6ae514c6;f0ea7496ae260a6c;f211d4ccfe169ccb;f3b16c07e6654ee8;f3f9f06b3d3d6aaf;f89d9146cf13aafe;f90e7d9770ec5e40;f9b763303db03de4;f9dfb6debe3b4a9b;faa3c61126312316;fab55882adf8d20f;fb7121ec698f5ea5;fbabc45d7371a429;fe1cb926b106182f,0.145238,0.567568,0.065421,0.308511,0.500000,0.200000
blocker_type,delivery_uncertainty,62,0.077500,4.1935,0.9516,81.6129,10.71,blocker_type=return_friction; uncertainty_type=can_i_return; blocker_type=trust_authenticity,0.060925,0.098113,0.317668,0.838710,0.238006,1.000000,0.370968,0.629032,false,true,false,false,false,9,32,21,62,0.079385,9,0.083333,0.044460,0.150831,4.3333,0.8889,81.1111,0.115398,3.75,blocker_type=delivery_uncertainty,047d1d293122c571;09d255d2c3c56884;10193ab27b32dfef;12ca6e66b5913223;16992285997da082;21e32ef9cc07f580;24141965d3f7e6a0;2cbc6c167e947180;2de35a4300835f30;3107dcdae0462ee8;3821a259b3fda79b;39157de6f873e9db;3d2381b3f092af5d;403203492a1e6e35;44e7a4c0659eb2d7;486e8e75f6fc7a71;4d941b462809a455;4ef52b790e471f14;4f3c6a87daa55eb6;51efc9845396c1dd;58b8f6f4832c6a9b;5b7a17f967cd8ca1;63827a9bb072cb5b;66df55b91fab8479;679453ed35b7236e;6867a417f9092f0f;687ac70c2bd0c55a;68e658c10da835b0;6a8d3249872ae45c;6eb37deb0aa6ac7a;710e139c7312244b;755513e947434ed4;790bf044d52057c1;7a14e3e1814a90ab;7d7676d9650bbcc6;8306ed39ac2e2ff5;878271e20c518964;8cb290a270922f1c;8e0113ed4d94bdf7;8ef67e49c8c495ff;90f9c54a8a88c015;972d3b5ce3925798;98d1b2b1e271000f;b005a0feeeb67715;b5c6af487b0975f7;b8432c792e4226b3;bb582c29971d3492;bd9e7b574e8a37a1;c2cc5888408a2986;c69ce268e059af4e;c6b48409cff7cc43;caee237524381790;cf1592e564f55ab5;d33757760ab11cfd;db9a5c51dbe1ec3b;dc1a9d6c0885e106;e85c8d2439bcec2d;f08934795480d657;f38af4e1859a1af1;f3b16c07e6654ee8;f89d9146cf13aafe;f9b763303db03de4,0.014286,0.209459,0.028037,0.180851,0.153846,0.200000
blocker_type,trust_authenticity,47,0.058750,3.9787,0.9362,80.6383,4.72,blocker_type=return_friction; uncertainty_type=can_i_return; blocker_type=quality_doubt,0.044466,0.077251,0.238251,0.795745,0.129857,0.833333,0.255319,0.744681,false,true,false,false,false,23,10,14,47,0.060179,6,0.055556,0.025707,0.115936,4.5000,1.0000,81.6667,0.100773,3.02,blocker_type=trust_authenticity,00b2ea842c59af1d;015bd03bade18a9d;08903ff1d59ccd58;0999da40daee7710;165f3a7a3b805f2d;174d335a81789c91;17d33236ae91d5ce;1fc2a9743073e099;3ccb1afc6c2ff0fc;403203492a1e6e35;4a489dd226254c7c;4d671a17ed868e2b;4ef52b790e471f14;527e44a3983703fe;59edff26c32c6f5d;5ac705e9e8c4c891;6aa2d09afed025df;6eb37deb0aa6ac7a;710e139c7312244b;71d053343acd6184;75af96f102725c97;77b869e6f3325c20;79939866e154bf3f;81700a323fe006df;88888e003cb395fe;8ef67e49c8c495ff;9b107f3f59ce2d48;a6410db332e01926;a64fa37e41e31b34;a7989923e11bd27f;a8cd7c4afbbe8f1d;aca4e737d91bafd4;ae9c5f49e0c4149e;af79392091dfba74;b87fe93bb190e03d;c425f1ae8745c96e;c6006d5b09408c06;c6b48409cff7cc43;d164804535bf65fe;d33757760ab11cfd;d4700bcfca44a169;db9a5c51dbe1ec3b;dcb6707715eda70f;e7345bafb9a6dd8f;f77dc46056cd268f;fb7121ec698f5ea5;fbabc45d7371a429,0.040476,0.067568,0.056075,0.117021,0.115385,0.000000
blocker_type,quality_doubt,46,0.057500,4.1304,0.9783,81.0870,4.32,blocker_type=return_friction; uncertainty_type=can_i_return; blocker_type=trust_authenticity,0.043383,0.075846,0.232957,0.826087,0.110832,0.833333,0.217391,0.782609,false,true,false,false,false,15,20,11,46,0.058899,10,0.092593,0.051073,0.162100,4.3000,1.0000,80.0000,0.070603,2.72,blocker_type=quality_doubt; uncertainty_type=is_quality_worth_it,00b2ea842c59af1d;0333fed324396512;0d721f870fdc59df;165f3a7a3b805f2d;1a1a20999e8971e2;1c58d7f3cba7c4f1;1e10e8d2abbb000e;1fc2a9743073e099;248e199ff62c553f;2d67ec1aa7d2786d;2f4ae2b402ca1b62;368f5742177b2f79;403203492a1e6e35;419a6cb0068122df;4d671a17ed868e2b;52f1f8628a2679c8;63827a9bb072cb5b;647bd7d4fe4afb87;71474cd9f2344c05;724f0048240a5c4d;7421d6281d633e7f;764993219d0c610b;79939866e154bf3f;81700a323fe006df;8b18597f770c48cc;8b494fa53a9f14d8;8cb290a270922f1c;8ddfcb0958d52c8c;9556f3775ddb6c23;9b107f3f59ce2d48;ab1f8661971c8b37;ac9c3ce55986dd0a;ae38fe051aca6cb2;ae527240a252918f;af79392091dfba74;c425f1ae8745c96e;c6006d5b09408c06;cc67ecc078d47795;cd8e8daef69a1b75;d06b393d6ff29bf3;d62df31e77aaea5d;e2afaa8ba5fd2c28;e7345bafb9a6dd8f;ed82f63094ce23e7;fb7121ec698f5ea5;fbabc45d7371a429,0.028571,0.135135,0.028037,0.106383,0.038462,0.000000
blocker_type,fit_size_uncertainty,90,0.112500,3.0667,0.9889,79.7778,4.04,wishlist_motivation=decide_later; blocker_type=return_friction; wishlist_motivation=seeking_opinion,0.092430,0.136274,0.427775,0.613333,0.101959,0.666667,0.233333,0.766667,false,true,false,false,false,80,8,2,83,0.106274,47,0.435185,0.345500,0.529323,2.7872,1.0000,79.5745,0.064519,3.47,blocker_type=fit_size_uncertainty; uncertainty_type=will_it_fit,00a4031247821efe;01e0ca545dc8d167;0547d0e58c1046fb;06af101eca8541bc;0757a0751104b741;08340f353e8f6909;0bff6978da1e7f59;0dea8a3bd1c66e13;1378c6a1bab9c434;1485817e75bdb8fa;14f1709f8a132293;156245572b51b531;156cef31f803b044;177d77f3d4899035;1aca7d7657f641d6;1bffdd1b9ded7f70;1f0acf8178c706d2;1f65be27efd8706f;25ab293ca21000a2;2c6ae494cc04b960;2e56b915e11f56df;2f4ae2b402ca1b62;307cb7d6e12dbb5c;33858f2c0c09ff60;3400e34b80dd59d6;34314826bbacb7d7;3692fa2a512aae06;3977ec942b8c98c6;3b94c23cd7794517;3ce0db9256c054cf;3f2c8fa03bdb2bc3;40142198e9cfc570;403203492a1e6e35;420c4a7f6524c47e;47f1b83b9966ceaf;49726ae23117a86a;49a1f82a0e70d78f;4b4072fa4bed9956;54858f3965caa2a7;566edcef6784c9a5;59214d7ced166e51;59b47ccfb0a5e5f5;5e9c04dafbe19960;603c88e401ea873d;611f9b6d09ca8197;66ba4b5eb31915e9;67046a2831f42a53;69b854d91b105b4e;6c10464c7fe320fe;6cf247624fdbe8f9;724f0048240a5c4d;74083592ce791884;744cb5975bc16590;748f01ab3054a117;764993219d0c610b;79ecf661760429ee;803ba25550da27ed;8521228752f16468;8600123cd4480b13;91c35ee453b8db20;93fbc6d0a17ae575;9bd8e4d15f8e9bb2;9c76ac6db47bb510;9e56b717a35830a9;a4121bb8bace3954;a480c59f2d5489da;a59c5a341e8fe367;a7989923e11bd27f;b2f5a08feb8f774d;b5f10f7b00ce78ff;b8df86648828d7bd;b904c5267cf218ac;ba6d6b315c9bbe65;c425f1ae8745c96e;c6b48409cff7cc43;c79f74f1ff67ccd2;c851c446ed512869;cb43cf2ffe28cdb9;d258407c2f534ed1;d319c7c2cb66ee3b;d4d501739ad6a08d;d8bab2ef9e2a8238;dd149e53038a8f36;dec2715510f66421;e0656fcac38ed1c2;e2f3325167075aa6;e3e0ef9b38b8c0c5;e564b56e8cbf1c28;e994e302306326b6;fda17553cd241abf,0.178571,0.054054,0.046729,0.021277,0.000000,0.000000
blocker_type,color_fabric_accuracy,7,0.008750,4.4286,1.0000,84.2857,1.26,uncertainty_type=true_color; blocker_type=fit_size_uncertainty; blocker_type=return_friction,0.004245,0.017951,0.026472,0.885714,0.087618,0.500000,0.428571,0.571429,true,true,false,false,false,4,3,0,7,0.008963,2,0.018519,0.005093,0.065020,4.5000,1.0000,85.0000,0.023377,0.31,blocker_type=color_fabric_accuracy,2f4ae2b402ca1b62;803ba25550da27ed;842a0aeb346f2446;9e94f45f92f3903f;ae527240a252918f;c6b48409cff7cc43;e994e302306326b6,0.002381,0.020270,0.028037,0.000000,0.000000,0.000000
uncertainty_type,true_color,9,0.011250,4.1111,1.0000,85.5556,1.06,blocker_type=color_fabric_accuracy; blocker_type=trust_authenticity; blocker_type=return_friction,0.005930,0.021242,0.037061,0.822222,0.066807,0.666667,0.222222,0.777778,true,true,false,false,false,5,2,2,9,0.011524,2,0.018519,0.005093,0.065020,4.5000,1.0000,85.0000,0.023377,0.31,uncertainty_type=true_color,08903ff1d59ccd58;2f4ae2b402ca1b62;842a0aeb346f2446;9e94f45f92f3903f;af79392091dfba74;c6b48409cff7cc43;d164804535bf65fe;e7345bafb9a6dd8f;e994e302306326b6,0.007143,0.013514,0.018692,0.000000,0.076923,0.000000
blocker_type,checkout_friction,15,0.018750,3.8000,0.8667,80.6667,0.56,blocker_type=price_absolute; blocker_type=return_friction; blocker_type=trust_authenticity,0.011395,0.030705,0.068828,0.760000,0.032683,0.500000,0.133333,0.866667,true,true,false,false,false,1,9,5,15,0.019206,6,0.055556,0.025707,0.115936,4.0000,1.0000,81.6667,0.000000,0.00,blocker_type=checkout_friction,1c590cb95f3b0e2d;26a25cb1cece9776;27f2237db8207405;44dcfbaf961dcd6a;5085bcf4b6bdc064;5770e3980e47bf37;6f6074657b98f555;710e139c7312244b;88888e003cb395fe;9ec9a49fc993db33;a6f2c74bf148edb3;bf383f67ff27a977;d175e98b62f74510;d6c511027ae69f18;e0f3e7714928f763,0.000000,0.060811,0.009346,0.053191,0.000000,0.000000
info_sought_elsewhere,brand_site_size_chart,9,0.011250,2.3333,1.0000,80.0000,0.37,uncertainty_type=will_it_fit; blocker_type=fit_size_uncertainty; wishlist_motivation=decide_later,0.005930,0.021242,0.028688,0.466667,0.046852,0.166667,0.666667,0.333333,true,true,true,false,false,9,0,0,8,0.010243,8,0.074074,0.038010,0.139398,2.2500,1.0000,80.0000,0.061576,0.96,info_sought_elsewhere=brand_site_size_chart,156cef31f803b044;1aca7d7657f641d6;25ab293ca21000a2;3692fa2a512aae06;49726ae23117a86a;54858f3965caa2a7;8600123cd4480b13;9e56b717a35830a9;b2f5a08feb8f774d,0.021429,0.000000,0.000000,0.000000,0.000000,0.000000
blocker_type,price_absolute,44,0.055000,3.7955,0.6136,80.4545,0.25,blocker_type=return_friction; uncertainty_type=can_i_return; wishlist_motivation=price_watch,0.041223,0.073030,0.218839,0.759091,0.011421,0.833333,0.022727,0.977273,false,true,false,false,false,13,16,15,44,0.056338,9,0.083333,0.044460,0.150831,4.0000,0.4444,78.8889,0.037412,0.56,blocker_type=price_absolute,047d1d293122c571;0c81d6fdcccbba3d;1034a87c82962c3c;11c927627445956f;12ca6e66b5913223;1e14833dbf373e52;2cbc6c167e947180;34646ea372851bcf;39bd3534a6ab7d57;4005b2672f8cd6e0;48dddc638b28be24;49d309905448e8a3;557a4c6b726d38ab;567989ce87789638;5c22143127763c83;5ec64288718af46d;630626e33890ac7b;6f6074657b98f555;729ac60784e490b4;764993219d0c610b;77e68f49a570b23e;7d93c44c83d4f4bc;88888e003cb395fe;8abc271a2e136eb8;8b494fa53a9f14d8;8e0113ed4d94bdf7;8ff342f88d98d90b;9c76ac6db47bb510;9dd37e0006996982;9ec9a49fc993db33;9fde6fcf1b6edbd4;a2fc45c225e71369;a59a0d1cbca3eec6;ac9c3ce55986dd0a;b47d4eeb586c072c;c2d424e4219a360d;c32bf93c84e03b5c;c6b48409cff7cc43;c752beb31e81370a;d84a710e8e50a9cd;dbaed976bf2daa12;e59e4834116e95af;ef288d0552a348f8;fe1cb926b106182f,0.016667,0.108108,0.056075,0.127660,0.115385,0.000000
