dimension,label,n_docs,n_authors,prevalence,prevalence_lo,prevalence_hi,author_prevalence,mean_severity,mean_actionability,mean_confidence,source_spread,flagged_evidence_share,low_confidence,reportable,source_specific,high_prevalence,post_purchase_only,n_pre_purchase,n_post_purchase,n_mixed,n_docs_genuine,prevalence_genuine,prevalence_lo_genuine,opportunity_score_genuine
blocker_type,return_friction,192,189,0.240000,0.211692,0.270793,0.241997,4.0156,0.9740,81.0938,1.000000,0.562500,false,true,false,false,false,67,84,41,45,0.416667,0.328113,20.19
uncertainty_type,can_i_return,122,121,0.152500,0.129252,0.179069,0.154930,4.0574,0.9672,81.2295,0.833333,0.557377,false,true,false,false,false,39,55,28,26,0.240741,0.169911,8.67
blocker_type,delivery_uncertainty,62,62,0.077500,0.060925,0.098113,0.079385,4.1935,0.9516,81.6129,1.000000,0.629032,false,true,false,false,false,9,32,21,9,0.083333,0.044460,3.79
blocker_type,fit_size_uncertainty,86,79,0.107500,0.087881,0.130871,0.101152,3.1512,0.9884,79.8837,0.666667,0.662791,false,true,false,false,false,76,8,2,44,0.407407,0.319468,5.58
blocker_type,quality_doubt,44,44,0.055000,0.041223,0.073030,0.056338,4.1364,0.9773,81.1364,0.833333,0.750000,false,true,false,false,false,13,20,11,9,0.083333,0.044460,4.21
blocker_type,trust_authenticity,47,47,0.058750,0.044466,0.077251,0.060179,3.9787,0.9362,80.6383,0.833333,0.744681,false,true,false,false,false,23,10,14,6,0.055556,0.025707,3.06
uncertainty_type,will_it_fit,86,79,0.107500,0.087881,0.130871,0.101152,3.0233,0.9884,79.7674,0.666667,0.744186,false,true,false,false,false,78,6,2,47,0.435185,0.345500,3.51
uncertainty_type,is_quality_worth_it,25,25,0.031250,0.021255,0.045725,0.032010,3.9200,0.9600,81.2000,0.833333,0.880000,false,true,false,false,false,10,10,5,5,0.046296,0.019935,0.00
blocker_type,color_fabric_accuracy,7,7,0.008750,0.004245,0.017951,0.008963,4.4286,1.0000,84.2857,0.500000,0.571429,true,true,false,false,false,4,3,0,2,0.018519,0.005093,0.32
uncertainty_type,true_color,9,9,0.011250,0.005930,0.021242,0.011524,4.1111,1.0000,85.5556,0.666667,0.777778,true,true,false,false,false,5,2,2,2,0.018519,0.005093,0.32
blocker_type,checkout_friction,15,15,0.018750,0.011395,0.030705,0.019206,3.8000,0.8667,80.6667,0.500000,0.866667,true,true,false,false,false,1,9,5,6,0.055556,0.025707,0.00
info_sought_elsewhere,brand_site_size_chart,9,8,0.011250,0.005930,0.021242,0.010243,2.3333,1.0000,80.0000,0.166667,0.333333,true,true,true,false,false,9,0,0,8,0.074074,0.038010,0.97
blocker_type,price_absolute,44,44,0.055000,0.041223,0.073030,0.056338,3.7955,0.6136,80.4545,0.833333,0.977273,false,true,false,false,false,13,16,15,9,0.083333,0.044460,0.57
wishlist_motivation,cart_proxy,4,4,0.005000,0.001946,0.012785,0.005122,1.0000,1.0000,75.0000,0.333333,0.500000,true,true,false,false,false,2,0,2,3,0.027778,0.009491,0.14
uncertainty_type,how_does_it_look_on_me,3,3,0.003750,0.001276,0.010967,0.003841,4.0000,1.0000,83.3333,0.166667,0.666667,true,true,true,false,false,3,0,0,0,0.000000,0.000000,0.00
info_sought_elsewhere,youtube_haul,5,5,0.006250,0.002672,0.014547,0.006402,1.6000,0.4000,72.0000,0.166667,0.000000,true,true,true,false,false,5,0,0,1,0.009259,0.001636,0.00
wishlist_motivation,budget_timing,4,4,0.005000,0.001946,0.012785,0.005122,2.5000,0.2500,80.0000,0.333333,0.500000,true,true,false,false,false,4,0,0,1,0.009259,0.001636,0.00
info_sought_elsewhere,other_marketplace_reviews,3,3,0.003750,0.001276,0.010967,0.003841,1.3333,1.0000,80.0000,0.166667,0.333333,true,true,true,false,false,3,0,0,0,0.000000,0.000000,0.00
wishlist_motivation,price_watch,19,19,0.023750,0.015256,0.036796,0.024328,2.1053,0.3158,79.4737,0.500000,0.947368,true,true,false,false,false,16,0,3,4,0.037037,0.014495,0.13
wishlist_motivation,compare_options,3,3,0.003750,0.001276,0.010967,0.003841,2.3333,1.0000,80.0000,0.166667,0.666667,true,true,true,false,false,3,0,0,1,0.009259,0.001636,0.00
wishlist_motivation,decide_later,24,22,0.030000,0.020241,0.044251,0.028169,2.5000,0.7083,79.5833,0.333333,1.000000,false,true,false,false,false,24,0,0,14,0.129630,0.078812,0.00
wishlist_motivation,seeking_opinion,14,14,0.017500,0.010452,0.029159,0.017926,2.5000,1.0000,80.0000,0.166667,1.000000,true,true,true,false,false,14,0,0,12,0.111111,0.064712,0.00
wishlist_motivation,inspiration_bookmark,7,7,0.008750,0.004245,0.017951,0.008963,1.1429,0.5714,75.7143,0.333333,1.000000,true,true,false,false,false,7,0,0,1,0.009259,0.001636,0.00
blocker_type,price_expectation,5,5,0.006250,0.002672,0.014547,0.006402,3.8000,0.4000,82.0000,0.500000,1.000000,true,true,false,false,false,1,0,4,0,0.000000,0.000000,0.00
uncertainty_type,better_alternative_exists,4,4,0.005000,0.001946,0.012785,0.005122,3.7500,0.7500,80.0000,0.500000,1.000000,true,true,false,false,false,2,1,1,2,0.018519,0.005093,0.00
